"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"BART_001",0.312578520888889,0.124047168688889,0.467879207333333,0.0373829943166667,0.0275890477493333,0.0305230577244444
"BART_004",0.1912665316,0.108569756555556,0.579437328555556,0.0781054836045556,0.0186848372507778,0.0239360576762222
"BART_006",0.240139396888889,0.324039338777778,0.350442045566667,0.0346990951766667,0.0233784573977778,0.02730166237
"CPER_001",0.288215449,0.327997305977778,0.0815914800322222,0.13080842198,0.0377446616022222,0.133642679025556
"CPER_002",0.331216733888889,0.312271173688889,0.0405649703511111,0.149752127108889,0.0630065488177778,0.103188451633333
"CPER_003",0.185952931488889,0.387406817777778,0.0545171213901111,0.259601708844444,0.023563225874,0.0889581956688889
"CPER_004",0.355958212,0.317197681855556,0.0459789774222222,0.13861012222,0.0319034156383333,0.110351586154444
"CPER_007",0.182059958677778,0.513909084464444,0.0385331663857944,0.111350679947467,0.0325814327233844,0.1215656779834
"CPER_047",0.202967791266667,0.526555041044444,0.0269863613141678,0.134892996749,0.0316623540505578,0.0769354517225222
"DSNY_001",0.30776292,0.131036128111111,0.437151084555556,0.0456551641933333,0.0276458508455556,0.0507488590111111
"DSNY_002",0.612318773,0.1279205787,0.106107377977778,0.0536353651311111,0.04783945335,0.0521784492155556
"DSNY_003",0.230308663588889,0.0545027345144444,0.630514640388889,0.0371530438422222,0.0216453294907778,0.0258755873798889
"DSNY_004",0.707747402333333,0.0714285098674944,0.0678736735898567,0.0508404712561768,0.051220481510859,0.0508894654374556
"DSNY_009",0.615547136888889,0.131997807933333,0.0761101244788889,0.0714985225022222,0.0472747376355556,0.0575716768888889
"DSNY_016",0.462731733666667,0.254280638355556,0.05237156024,0.116428658144444,0.0381249092322222,0.0760625021333333
"DSNY_043",0.630178219666667,0.105226073514444,0.0550686703003333,0.0471191278655556,0.0480977576234444,0.114310144031111
"HARV_001",0.157096459622222,0.127250869077778,0.659193166,0.02267321722,0.0162370054688889,0.0175492814633333
"HARV_002",0.216026635311111,0.126999844813333,0.592732583866667,0.022197303808,0.0201362816094444,0.0219073474879556
"HARV_004",0.176489262,0.147249740077778,0.595970003333333,0.0389706330744444,0.01841945107,0.0229009163677778
"HARV_010",0.107179849666667,0.111781098788889,0.731065465,0.0218206742722222,0.0149972464192222,0.0131556679888889
"HARV_013",0.198530306333333,0.146039858444444,0.576440736111111,0.03660472895,0.02070619699,0.02167816566
"HARV_016",0.482618909555556,0.180581849477778,0.212030452177778,0.0423715379344444,0.0385615321811111,0.0438357277455556
"HARV_020",0.508621653666667,0.243930895766667,0.106478412066667,0.0460157348911111,0.0438109660044444,0.0511423442177778
"HARV_021",0.196528029144444,0.205105826066667,0.515969226,0.0378515989011111,0.0193506439666667,0.0251946766044444
"HARV_033",0.254246189111111,0.227963053566667,0.437187117222222,0.0319086960677778,0.0237180850266667,0.0249768517877778
"HARV_034",0.407176251666667,0.242129920358889,0.236315347561111,0.0429319544566667,0.0380058000637111,0.0334407314562222
"HARV_035",0.342500542333333,0.134568568687778,0.421531261533333,0.0343134010386667,0.0311491637029778,0.0359370774246667
"JERC_001",0.261766054444444,0.1767637756,0.417304168111111,0.0749897754966667,0.0279986022888889,0.0411776199988889
"JERC_002",0.0909503770666667,0.293870153111111,0.574551593222222,0.0129773941798889,0.014801483036,0.012848994714
"JERC_003",0.0955729498111111,0.108845210133333,0.744294735111111,0.0168432498397778,0.01811933138,0.0163245096486667
"JERC_005",0.0537542578333333,0.247202395511111,0.669456844888889,0.0104896505208889,0.00744044216711111,0.0116564077153333
"JERC_006",0.131001576622222,0.135415130655556,0.654664265777778,0.0429385430311111,0.0140663352766667,0.0219141508866667
"JERC_008",0.273834344066667,0.344077040444444,0.286658656571111,0.0444033737927778,0.024616880665,0.0264097030765556
"JERC_047",0.365026855555556,0.220142724019556,0.275000744318889,0.0642092976492222,0.033043556421,0.0425768179686667
"JERC_048",0.187627609933333,0.325067224772222,0.395357142033333,0.0330911487434444,0.0180621795783333,0.0407946911961111
"JERC_049",0.0494888956055556,0.176580648638,0.736421643555556,0.0177625210943344,0.0104600054871676,0.00928628466478222
"ORNL_001",0.535165183444444,0.182873282483089,0.129184252889367,0.0525182062843133,0.0406732967278,0.0595857735141267
"ORNL_003",0.169863224544444,0.0411204961081,0.706206168488889,0.0432556791154433,0.0235013053106943,0.0160531285636524
"ORNL_021",0.463691829444444,0.312565798116111,0.0520302436162778,0.0783120215261889,0.0564564719592222,0.0369436470184549
"ORNL_029",0.284714363855556,0.166827363456889,0.390411410592222,0.0510373275046589,0.0485597941723333,0.0584497370414489
"ORNL_031",0.388445413555556,0.338654171676778,0.0481631132001222,0.104635029142833,0.0678995893550311,0.0522026854949333
"ORNL_037",0.0894979263111111,0.0655401138059,0.815488211555556,0.00996752959537778,0.00978990488576111,0.00971631340295
"ORNL_043",0.0261633012122222,0.0575960902436667,0.903727921444444,0.00413579608646956,0.00418735470969878,0.00418953832129478
"OSBS_001",0.148530450144444,0.257942693688889,0.495140737888889,0.0420783111988889,0.0239782427455556,0.0323295668988889
"OSBS_002",0.118814683255556,0.125485088511111,0.694297225,0.0258907733377778,0.0132008510877778,0.02231137558
"OSBS_003",0.0311318454111111,0.0507456342633333,0.896506802888889,0.00623771611022222,0.00689360722244444,0.00848438939077778
"OSBS_022",0.679375828,0.0617806714555556,0.0790746799735556,0.065944442172,0.0505724752848889,0.0632519048984444
"SCBI_002",0.381004798444444,0.390388684111111,0.07756313926,0.0583435491588889,0.0365646856877778,0.0561351503377778
"SCBI_003",0.1268652202,0.161726315033333,0.624404564111111,0.0347475515477778,0.0242824237433333,0.0279739217211111
"SCBI_006",0.335308558,0.459420969444444,0.0389679165033333,0.0690965745222222,0.0448499574044444,0.0523560211777778
"SCBI_012",0.297716501666667,0.487586564777778,0.0340411179133333,0.0928978374111111,0.0384818296455556,0.0492761486877778
"SCBI_033",0.254518956333333,0.494111668455556,0.0360150260944444,0.0832089830788889,0.0872486519966667,0.0448967100766667
"SCBI_045",0.457769339,0.287983278377778,0.0672226231677778,0.0513174628144444,0.0483403433611111,0.0873669589566667
"STER_005",0.168206709677778,0.452285973777778,0.0246861293444444,0.179599272433333,0.0187316380443333,0.156490278055556
"STER_006",0.140957738622222,0.458356384777778,0.0217060315144444,0.197828856622222,0.0160392709544444,0.165111726255556
"STER_007",0.2458649285,0.393272665121111,0.0349148722398767,0.162880300014756,0.0259825705671133,0.137084659842889
"STER_018",0.156102368977778,0.465383451166667,0.0216434434548889,0.136974250276667,0.0159440405244444,0.203952438477778
"STER_026",0.145062639633333,0.252523625366667,0.0179405079477778,0.315079232777778,0.0178712382072222,0.251522769577778
