"","map","mat","NPP","relEM","pH"
"ram_samp_61",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.65
"ram_samp_62",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.67
"ram_samp_63",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.45
"ram_samp_64",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.56
"ram_samp_65",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.64
"ram_samp_66",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.54
"ram_samp_67",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.76
"ram_samp_68",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.62
"ram_samp_69",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.72
"ram_samp_70",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.56
"ram_samp_71",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.62
"ram_samp_72",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.64
"ram_samp_73",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.55
"ram_samp_74",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.7
"ram_samp_75",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.54
"ram_samp_76",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.64
"ram_samp_77",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.62
"ram_samp_78",0.831,9.63333333376795,0.675000011920929,0.898120641708374,7.63
"ram_samp_79",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.12
"ram_samp_80",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.71
"ram_samp_81",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4
"ram_samp_82",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.14
"ram_samp_83",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.17
"ram_samp_84",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.63
"ram_samp_85",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.9
"ram_samp_86",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.07
"ram_samp_87",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.32
"ram_samp_88",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.93
"ram_samp_89",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.91
"ram_samp_90",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.8
"ram_samp_91",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.4
"ram_samp_92",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.74
"ram_samp_93",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.9
"ram_samp_94",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.56
"ram_samp_95",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.57
"ram_samp_96",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.8
"ram_samp_97",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.74
"ram_samp_98",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.9
"ram_samp_99",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.91
"ram_samp_100",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.94
"ram_samp_101",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.76
"ram_samp_102",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.09
"ram_samp_103",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.02
"ram_samp_104",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.52
"ram_samp_105",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.65
"ram_samp_106",1.274,7.93333330843598,0.648999989032745,0.871110439300537,3.83
"ram_samp_107",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.13
"ram_samp_108",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.34
"ram_samp_109",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.64
"ram_samp_110",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.86
"ram_samp_111",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.92
"ram_samp_112",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.73
"ram_samp_113",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.79
"ram_samp_114",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.75
"ram_samp_115",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.21
"ram_samp_116",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6
"ram_samp_117",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.84
"ram_samp_118",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.32
"ram_samp_119",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.31
"ram_samp_120",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.41
"ram_samp_121",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.53
"ram_samp_122",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.38
"ram_samp_123",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.42
"ram_samp_124",1.274,7.93333330843598,0.648999989032745,0.871110439300537,6.3
"ram_samp_125",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.73
"ram_samp_126",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.47
"ram_samp_127",1.274,7.93333330843598,0.648999989032745,0.871110439300537,4.91
"ram_samp_128",1.274,7.93333330843598,0.648999989032745,0.871110439300537,7.03
"ram_samp_129",1.274,7.93333330843598,0.648999989032745,0.871110439300537,5.01
