samples,latitude,longitude,depth_max,forest,map,map_sd,mat,mat_sd,map_CV,mat_CV,mdr,aridity,NPP,relEM,pH
ram_samp_1108,40.208781,-3.419164,7.5,0,0.413,0.046441778,14.3750001,1.241486644,42.19793381,703.0372485,12.05000016,0.381000012,0.243000001,0.98421222,8.024
ram_samp_1109,48.223083,116.015833,7.5,0,0.197,0.047047899,1.199999933,1.264494155,111.2119529,1558.462226,12.64999991,0.280999988,0.021,0.916175663,7.124
ram_samp_1128,36.685466,-111.85683,7.5,0,0.235,0.048754146,13.17499983,1.193217192,33.17503241,887.2441898,17.16666644,0.204999998,0.039999999,0.625080347,8.306
ram_samp_1129,37.429083,58.109556,7.5,0,0.405,0.046933217,11.92083342,1.252458862,44.70125966,879.7997271,12.20833342,0.254000008,0.158999994,0.674438238,7.756
ram_samp_1130,38.003108,-110.51669,7.5,0,0.168,0.049465491,12.67499999,1.246753148,29.8142397,1007.128009,15.59999999,0.115999997,0.116999999,0.674331248,8.672
ram_samp_1131,40.36936,-3.388677,7.5,0,0.434,0.046549489,13.83750006,1.271207247,43.63895031,707.7176162,12.04166673,0.368000001,0.243000001,0.98421222,8.217
ram_samp_1132,33.052487,-2.422588,7.5,0,0.257,0.049030752,15.25416681,1.264631865,40.86145885,763.7064601,13.19166683,0.216999993,0.193000004,0.836305082,8.446
ram_samp_1133,37.730413,-109.41358,7.5,0,0.387,0.048652706,8.249999911,1.206709884,27.29832611,855.8913438,14.08333323,0.289000005,0.085000001,0.477035403,7.638
ram_samp_1137,40.354792,-2.877436,7.5,0,0.408,0.049113944,14.15000008,1.279037814,39.26977244,701.6409341,12.50000018,0.44600001,0.465999991,0.947926641,7.598
ram_samp_1138,35.160036,9.116646,7.5,0,0.281,0.046278034,18.29999985,1.270278844,31.74611865,725.8004914,13.4166664,0.270000011,0.07,0.910842776,8.556
ram_samp_1139,38.791855,-1.717695,7.5,0,0.394,0.04708294,13.86666656,1.215732061,36.50158371,745.1214961,13.2666664,0.38499999,0.462000012,0.973762393,8.248
ram_samp_1141,35.167767,8.673783,7.5,0,0.331,0.046149034,15.48749993,1.264753505,27.32279186,705.0858208,11.70833321,0.358999997,0.050999999,0.887856305,8.308
ram_samp_1142,39.048208,-2.2306,7.5,0,0.43,0.048791581,14.21666658,1.245634547,42.34270884,720.1840927,12.58333324,0.367000014,0.172999993,0.934503138,8.1
ram_samp_1143,37.371111,56.560944,7.5,0,0.296,0.046869655,11.9666667,1.266665498,62.38929385,890.0085145,12.20000005,0.199000001,0.088,0.737198055,7.752
ram_samp_1144,31.35779,34.820866,7.5,0,0.271,0.047145971,18.93333358,1.255879581,107.9771954,560.8570479,12.20000009,0.202999994,0.175999999,0.831354797,8.024
ram_samp_1145,33.52157,9.97436,7.5,0,0.226,0.047049307,19.47083346,1.298511377,62.37865457,700.3293424,11.20833333,0.145999998,0,0.725001931,8.37
ram_samp_1148,37.113448,-112.55222,7.5,0,0.372,0.046798234,11.5499999,1.245468073,32.77527651,817.5906861,17.58333328,0.239999995,0.021,0.461249322,8.268
ram_samp_1150,38.588606,-1.199478,7.5,0,0.387,0.049748145,14.04166664,1.222861524,35.81864093,706.6014376,12.38333341,0.395000011,0.462000012,0.973762393,8.106
ram_samp_1151,39.538668,-1.802287,7.5,0,0.428,0.048930304,13.27083326,1.263858799,32.40196449,740.2409208,12.79166666,0.421000004,0.305999994,0.958602488,8.202
ram_samp_1152,36.696167,58.6695,7.5,0,0.37,0.047651551,7.970833292,1.268747228,71.09140773,897.2646836,11.17500005,0.244000003,0.056000002,0.684422731,7.427
ram_samp_1153,37.593066,-1.232379,7.5,0,0.277,0.047131141,17.90833346,1.256163625,45.2249869,572.9859212,11.11666711,0.256000012,0.572000027,0.978090227,8.362
ram_samp_1154,39.207539,-2.514767,7.5,0,0.423,0.049370107,14.23333341,1.262350253,43.2532819,728.6392381,12.66666703,0.368999988,0.172999993,0.934503138,8.012
ram_samp_1155,40.018028,-2.879354,7.5,0,0.462,0.048570444,13.26249999,1.252899709,39.99242474,721.7312641,12.24166674,0.432000011,0.465999991,0.947926641,8.366
ram_samp_1156,33.06768,-2.728708,7.5,0,0.259,0.04794024,14.46250001,1.290520138,39.12831333,745.745893,12.69166678,0.244000003,0.193000004,0.836305082,8.46
ram_samp_1160,33.932621,-3.558751,7.5,0,0.336,0.044859579,16.37083331,1.270600585,48.23105848,631.5149816,12.32499999,0.328999996,0.232999995,0.901763678,8.046
ram_samp_1161,38.173514,-109.71027,7.5,0,0.251,0.047464118,11.92916666,1.212830756,26.06309385,990.1732135,16.15833348,0.143000007,0.115000002,0.569829404,8.686
ram_samp_1165,34.430867,-2.192604,7.5,0,0.34,0.04865293,14.9541667,1.196016038,50.48831794,621.019911,12.70833339,0.328999996,0.328000009,0.951898694,8.154
ram_samp_1166,39.992036,-3.618947,7.5,0,0.379,0.048850195,14.82916664,1.236051032,41.24753241,711.4500407,12.52500012,0.375999987,0.173999995,0.945031047,8.068
ram_samp_1170,42.4,128.1,0.05,0,0.683,0.050053082,3.349999907,1.219619457,96.33811751,1276.064597,11.93333309,0.80400002,0.551999986,0.817688286,5.75
ram_samp_1171,42.03,128.067,0.05,0,1.021,0.04788879,-5.145833365,1.223381178,95.40511462,1138.564605,12.00833343,1.159000039,0.551999986,0.817688286,5.53
ram_samp_1172,42.783,128.2,0.05,0,0.648,0.049835902,3.225000004,1.222480457,95.86491874,1355.903762,12.83333357,0.768999994,0.551999986,0.817688286,5.08
ram_samp_1173,42.783,128.2,0.05,0,0.648,0.046527319,3.225000004,1.253312736,95.86491874,1355.903762,12.83333357,0.768999994,0.551999986,0.817688286,5.34
ram_samp_1174,42.083,128.067,0.05,0,0.815,0.047078804,-0.975000032,1.241515866,101.538885,1186.127203,12.78333344,1.159000039,0.551999986,0.817688286,5.57
ram_samp_1175,42.03,128.067,0.05,0,1.021,0.048670273,-5.145833365,1.166530118,95.40511462,1138.564605,12.00833343,1.159000039,0.551999986,0.817688286,5.45
ram_samp_1176,42.4,128.1,0.05,0,0.683,0.049028363,3.349999907,1.286978039,96.33811751,1276.064597,11.93333309,0.80400002,0.551999986,0.817688286,5.43
ram_samp_1177,42.783,128.2,0.05,0,0.648,0.047484729,3.225000004,1.231946459,95.86491874,1355.903762,12.83333357,0.768999994,0.551999986,0.817688286,5.21
ram_samp_1178,42.03,128.067,0.05,0,1.021,0.049190546,-5.145833365,1.24776577,95.40511462,1138.564605,12.00833343,1.159000039,0.551999986,0.817688286,6.31
ram_samp_1179,42.083,128.067,0.05,0,0.815,0.047659559,-0.975000032,1.234840297,101.538885,1186.127203,12.78333344,1.159000039,0.551999986,0.817688286,4.59
ram_samp_1180,42.4,128.1,0.05,0,0.683,0.048031323,3.349999907,1.209090608,96.33811751,1276.064597,11.93333309,0.80400002,0.551999986,0.817688286,5.5
ram_samp_1181,42.783,128.2,0.05,0,0.648,0.048175655,3.225000004,1.279274583,95.86491874,1355.903762,12.83333357,0.768999994,0.551999986,0.817688286,5.06
ram_samp_1182,42.03,128.067,0.05,0,1.021,0.049848088,-5.145833365,1.263128224,95.40511462,1138.564605,12.00833343,1.159000039,0.551999986,0.817688286,6.01
ram_samp_1183,42.4,128.1,0.05,0,0.683,0.048997543,3.349999907,1.255375139,96.33811751,1276.064597,11.93333309,0.80400002,0.551999986,0.817688286,5.85
ram_samp_1184,42.15,128.13,0.05,0,0.743,0.047342843,1.312499995,1.22001906,100.4094865,1199.024471,12.24166678,1.159000039,0.551999986,0.817688286,5.14
