"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"SRR1502337",0.638779527559055,0.144685039370079,0.0610236220472441,0.00196850393700787,0.0078740157480315,0.0265748031496063,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0531496062992126,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.0226377952755906,0.030511811023622,0.00393700787401575
"SRR1502338",0.56003937007874,0.175196850393701,0.0423228346456693,0.00492125984251968,0.0482283464566929,0.00492125984251968,0.00295275590551181,0.000984251968503937,0.0127952755905512,0.00885826771653543,0.000984251968503937,0.0364173228346457,0.00590551181102362,0.0413385826771654,0.0452755905511811,0.00885826771653543
"SRR1502339",0.465551181102362,0.148622047244095,0.0078740157480315,0.0127952755905512,0.0639763779527559,0.0856299212598425,0.000984251968503937,0.000984251968503937,0.121062992125984,0.0167322834645669,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.00885826771653543,0.0433070866141732,0.0177165354330709
"SRR1502340",0.301181102362205,0.302165354330709,0.0610236220472441,0.0147637795275591,0.0216535433070866,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.047244094488189,0.145669291338583,0.000984251968503937,0.00295275590551181,0.0147637795275591,0.0580708661417323,0.0127952755905512,0.00984251968503937
"SRR1502341",0.460629921259843,0.0482283464566929,0.000984251968503937,0.00492125984251968,0.000984251968503937,0.0501968503937008,0.000984251968503937,0.00492125984251968,0.0492125984251969,0.214566929133858,0.0501968503937008,0.000984251968503937,0.000984251968503937,0.0551181102362205,0.0531496062992126,0.00393700787401575
"SRR1502342",0.43503937007874,0.0639763779527559,0.0610236220472441,0.0187007874015748,0.0452755905511811,0.0669291338582677,0.0118110236220472,0.000984251968503937,0.0492125984251969,0.111220472440945,0.0206692913385827,0.000984251968503937,0.0226377952755906,0.0452755905511811,0.0226377952755906,0.0236220472440945
"SRR1502343",0.43503937007874,0.0718503937007874,0.0688976377952756,0.0127952755905512,0.0767716535433071,0.0659448818897638,0.00196850393700787,0.00590551181102362,0.102362204724409,0.0413385826771654,0.00196850393700787,0.0541338582677165,0.000984251968503937,0.0236220472440945,0.0285433070866142,0.0078740157480315
"SRR1502391",0.276574803149606,0.0433070866141732,0.00492125984251968,0.0196850393700787,0.00984251968503937,0.0383858267716535,0.00196850393700787,0.00885826771653543,0.153543307086614,0.261811023622047,0.106299212598425,0.00295275590551181,0.000984251968503937,0.0216535433070866,0.000984251968503937,0.0482283464566929
"SRR1502399",0.416338582677165,0.0925196850393701,0.0147637795275591,0.00393700787401575,0.00984251968503937,0.00590551181102362,0.00984251968503937,0.00984251968503937,0.301181102362205,0.000984251968503937,0.000984251968503937,0.0679133858267717,0.0187007874015748,0.0275590551181102,0.00885826771653543,0.0108267716535433
"SRR1502402",0.374015748031496,0.0531496062992126,0.0364173228346457,0.0147637795275591,0.0226377952755906,0.112204724409449,0.00688976377952756,0.0206692913385827,0.0236220472440945,0.0905511811023622,0.0442913385826772,0.0187007874015748,0.0177165354330709,0.108267716535433,0.0255905511811024,0.030511811023622
"SRR1502406",0.37007874015748,0.0925196850393701,0.0413385826771654,0.000984251968503937,0.0482283464566929,0.164370078740157,0.000984251968503937,0.000984251968503937,0.0895669291338583,0.0984251968503937,0.000984251968503937,0.00590551181102362,0.000984251968503937,0.0501968503937008,0.015748031496063,0.0187007874015748
"SRR1502407",0.40255905511811,0.0541338582677165,0.0206692913385827,0.00492125984251968,0.0236220472440945,0.146653543307087,0.000984251968503937,0.000984251968503937,0.142716535433071,0.046259842519685,0.047244094488189,0.0127952755905512,0.00885826771653543,0.0246062992125984,0.0354330708661417,0.0275590551181102
"SRR1502408",0.369094488188976,0.0600393700787402,0.00984251968503937,0.00885826771653543,0.000984251968503937,0.0423228346456693,0.000984251968503937,0.272637795275591,0.000984251968503937,0.163385826771654,0.0177165354330709,0.000984251968503937,0.000984251968503937,0.0492125984251969,0.000984251968503937,0.000984251968503937
"SRR1502409",0.454724409448819,0.0413385826771654,0.00295275590551181,0.00295275590551181,0.000984251968503937,0.0265748031496063,0.00590551181102362,0.00688976377952756,0.0118110236220472,0.216535433070866,0.0600393700787402,0.00885826771653543,0.0118110236220472,0.0807086614173228,0.0108267716535433,0.0570866141732283
"SRR1502410",0.421259842519685,0.0521653543307087,0.000984251968503937,0.00885826771653543,0.00885826771653543,0.234251968503937,0.000984251968503937,0.0108267716535433,0.0295275590551181,0.0265748031496063,0.030511811023622,0.000984251968503937,0.000984251968503937,0.15748031496063,0.000984251968503937,0.0147637795275591
"SRR1502412",0.293307086614173,0.0187007874015748,0.0167322834645669,0.0078740157480315,0.0078740157480315,0.0147637795275591,0.00590551181102362,0.00885826771653543,0.0187007874015748,0.390748031496063,0.0816929133858268,0.000984251968503937,0.000984251968503937,0.0826771653543307,0.000984251968503937,0.0492125984251969
"SRR1502413",0.557086614173228,0.0364173228346457,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.0177165354330709,0.000984251968503937,0.000984251968503937,0.00984251968503937,0.211614173228346,0.0974409448818898,0.000984251968503937,0.000984251968503937,0.047244094488189,0.00590551181102362,0.00688976377952756
"SRR1502414",0.442913385826772,0.0669291338582677,0.0108267716535433,0.00492125984251968,0.000984251968503937,0.0364173228346457,0.000984251968503937,0.000984251968503937,0.00885826771653543,0.363188976377953,0.0118110236220472,0.000984251968503937,0.000984251968503937,0.0423228346456693,0.000984251968503937,0.00590551181102362
"SRR1502421",0.34744094488189,0.093503937007874,0.0078740157480315,0.000984251968503937,0.000984251968503937,0.0639763779527559,0.000984251968503937,0.00393700787401575,0.0226377952755906,0.31988188976378,0.0905511811023622,0.000984251968503937,0.00492125984251968,0.0383858267716535,0.000984251968503937,0.00196850393700787
"SRR1502422",0.34744094488189,0.031496062992126,0.00196850393700787,0.00492125984251968,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00984251968503937,0.441929133858268,0.0590551181102362,0.000984251968503937,0.000984251968503937,0.0866141732283465,0.000984251968503937,0.00885826771653543
"SRR1502423",0.289370078740157,0.0639763779527559,0.015748031496063,0.0078740157480315,0.000984251968503937,0.100393700787402,0.00492125984251968,0.00492125984251968,0.0610236220472441,0.15748031496063,0.141732283464567,0.00885826771653543,0.00492125984251968,0.102362204724409,0.00492125984251968,0.030511811023622
"SRR1502424",0.392716535433071,0.193897637795276,0.0757874015748032,0.0354330708661417,0.00984251968503937,0.047244094488189,0.00393700787401575,0.000984251968503937,0.0393700787401575,0.0580708661417323,0.000984251968503937,0.109251968503937,0.000984251968503937,0.015748031496063,0.00393700787401575,0.0118110236220472
"SRR1502428",0.375984251968504,0.0570866141732283,0.0236220472440945,0.000984251968503937,0.000984251968503937,0.192913385826772,0.00393700787401575,0.000984251968503937,0.0511811023622047,0.0748031496062992,0.15255905511811,0.000984251968503937,0.000984251968503937,0.0226377952755906,0.000984251968503937,0.0393700787401575
"SRR1502429",0.47244094488189,0.000984251968503937,0.00393700787401575,0.00492125984251968,0.000984251968503937,0.233267716535433,0.00393700787401575,0.0236220472440945,0.000984251968503937,0.140748031496063,0.046259842519685,0.000984251968503937,0.000984251968503937,0.0639763779527559,0.000984251968503937,0.000984251968503937
"SRR1502430",0.423228346456693,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.307086614173228,0.00885826771653543,0.00393700787401575,0.000984251968503937,0.136811023622047,0.046259842519685,0.000984251968503937,0.000984251968503937,0.0531496062992126,0.000984251968503937,0.00984251968503937
"SRR1502436",0.160433070866142,0.0118110236220472,0.00295275590551181,0.0127952755905512,0.000984251968503937,0.0482283464566929,0.000984251968503937,0.0226377952755906,0.000984251968503937,0.663385826771654,0.00984251968503937,0.000984251968503937,0.000984251968503937,0.047244094488189,0.000984251968503937,0.0147637795275591
"SRR1502437",0.594488188976378,0.031496062992126,0.000984251968503937,0.000984251968503937,0.00590551181102362,0.000984251968503937,0.000984251968503937,0.0078740157480315,0.260826771653543,0.0108267716535433,0.000984251968503937,0.0226377952755906,0.0226377952755906,0.0118110236220472,0.0196850393700787,0.00688976377952756
"SRR1502438",0.465551181102362,0.113188976377953,0.000984251968503937,0.000984251968503937,0.0374015748031496,0.0354330708661417,0.00492125984251968,0.000984251968503937,0.173228346456693,0.00295275590551181,0.0816929133858268,0.0492125984251969,0.00393700787401575,0.000984251968503937,0.00590551181102362,0.0226377952755906
"SRR1502439",0.262795275590551,0.0492125984251969,0.00984251968503937,0.0118110236220472,0.0078740157480315,0.211614173228346,0.000984251968503937,0.000984251968503937,0.0639763779527559,0.226377952755905,0.0826771653543307,0.0177165354330709,0.00295275590551181,0.0334645669291339,0.000984251968503937,0.0167322834645669
"SRR1502440",0.941929133858268,0.0196850393700787,0.0196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00688976377952756,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"SRR1502441",0.93503937007874,0.0492125984251969,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00295275590551181,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"SRR1502442",0.240157480314961,0.0570866141732283,0.0177165354330709,0.000984251968503937,0.000984251968503937,0.188976377952756,0.000984251968503937,0.00295275590551181,0.000984251968503937,0.404527559055118,0.0354330708661417,0.000984251968503937,0.000984251968503937,0.0433070866141732,0.000984251968503937,0.00295275590551181
"SRR1502443",0.246062992125984,0.0866141732283465,0.0187007874015748,0.0147637795275591,0.0206692913385827,0.338582677165354,0.000984251968503937,0.00393700787401575,0.0275590551181102,0.192913385826772,0.0127952755905512,0.0187007874015748,0.000984251968503937,0.00885826771653543,0.000984251968503937,0.00688976377952756
"SRR1502444",0.192913385826772,0.262795275590551,0.0275590551181102,0.000984251968503937,0.000984251968503937,0.299212598425197,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.169291338582677,0.0255905511811024,0.000984251968503937,0.000984251968503937,0.00885826771653543,0.000984251968503937,0.00590551181102362
"SRR1502462",0.393700787401575,0.102362204724409,0.00885826771653543,0.00295275590551181,0.0177165354330709,0.0698818897637795,0.00295275590551181,0.0255905511811024,0.0196850393700787,0.0580708661417323,0.078740157480315,0.0196850393700787,0.000984251968503937,0.0767716535433071,0.0984251968503937,0.0236220472440945
"SRR1502463",0.499015748031496,0.0767716535433071,0.047244094488189,0.000984251968503937,0.0275590551181102,0.0541338582677165,0.00885826771653543,0.00492125984251968,0.077755905511811,0.00885826771653543,0.0265748031496063,0.0718503937007874,0.0078740157480315,0.0246062992125984,0.00590551181102362,0.0570866141732283
"SRR1502464",0.506889763779528,0.0531496062992126,0.0127952755905512,0.00885826771653543,0.0836614173228346,0.126968503937008,0.00295275590551181,0.00984251968503937,0.000984251968503937,0.00295275590551181,0.0433070866141732,0.0118110236220472,0.0206692913385827,0.100393700787402,0.000984251968503937,0.0137795275590551
"SRR1502465",0.256889763779528,0.0196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.220472440944882,0.264763779527559,0.142716535433071,0.00492125984251968,0.000984251968503937,0.0561023622047244,0.000984251968503937,0.0226377952755906
"SRR1502466",0.369094488188976,0.0393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.167322834645669,0.00295275590551181,0.00492125984251968,0.000984251968503937,0.224409448818898,0.114173228346457,0.000984251968503937,0.00295275590551181,0.0679133858267717,0.000984251968503937,0.000984251968503937
"SRR1502467",0.317913385826772,0.0590551181102362,0.0108267716535433,0.0078740157480315,0.00984251968503937,0.244094488188976,0.000984251968503937,0.000984251968503937,0.0374015748031496,0.118110236220472,0.0639763779527559,0.000984251968503937,0.00492125984251968,0.0797244094488189,0.00688976377952756,0.0364173228346457
"SRR1502468",0.398622047244095,0.0187007874015748,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0875984251968504,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.137795275590551,0.126968503937008,0.00492125984251968,0.000984251968503937,0.206692913385827,0.00393700787401575,0.00393700787401575
"SRR1502469",0.432086614173228,0.0659448818897638,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.167322834645669,0.000984251968503937,0.000984251968503937,0.00984251968503937,0.0511811023622047,0.0206692913385827,0.00688976377952756,0.00590551181102362,0.216535433070866,0.000984251968503937,0.0177165354330709
"SRR1502470",0.298228346456693,0.137795275590551,0.0187007874015748,0.000984251968503937,0.0147637795275591,0.373031496062992,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.0354330708661417,0.0334645669291339,0.00196850393700787,0.0570866141732283,0.0206692913385827,0.00393700787401575
"SRR1502471",0.12007874015748,0.00590551181102362,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.293307086614173,0.000984251968503937,0.000984251968503937,0.236220472440945,0.0816929133858268,0.0974409448818898,0.00492125984251968,0.000984251968503937,0.107283464566929,0.000984251968503937,0.046259842519685
