"","pC","cn","pH","NPP","map","mat","forest","conifer","relEM"
"SRR1502473",5.503133066,12.22320687,5.67,0.6,6.48463523563525,5.87500000993411,1,0,96
"SRR1502474",11.29228346,13.48176021,5.95,0.6,6.5424719605068,4.95833324392637,1,0,87
"SRR1502475",26.05271528,16.49014209,4.87,0.59,6.65672652417839,2.82083335705101,1,0,100
"SRR1502476",14.06720769,15.48289254,3.65,0.6,6.56526497003536,4.98333336909612,1,0,100
"SRR1502477",5.607477382,13.58858949,3.98,0.6,6.4831073514572,5.83750000596046,1,0,100
"SRR1502478",9.60791279,13.91689775,3.97,0.6,6.52356230614951,6.49583335717519,1,0,99
"SRR1502479",15.08093064,13.51113031,5.97,0.6,6.57507584059962,4.56250002483527,1,0,100
"SRR1502481",13.12765997,17.50385558,5.18,0.58,7.0475172213573,3.97500005861123,1,0,100
"SRR1502482",14.95082674,17.39474796,3.16,0.78,7.60339933974067,11.9791667461395,1,1,60
"SRR1502483",13.069829,16.47084442,3.92,0.76,7.59839932932396,3.85416664679845,1,0,90
"SRR1502485",17.39440697,17.55651351,4.13,1.17,8.34687925374656,5.8875000278155,1,1,100
"SRR1502486",24.30600785,16.87039509,3.31,1.17,8.35113860708615,6.32499997814496,1,1,100
"SRR1502487",8.639175359,14.21249314,6.49,0.52,5.80814248998044,7.41250005178154,0,0,50
"SRR1502488",7.600722073,13.1560105,6.76,0.54,6.5875500148248,14.0333334580064,1,0,60
"SRR1502494",8.654387671,23.43107931,7.08,0.12,5.44673737166631,21.2916666890184,0,0,80
"SRR1502495",12.52381626,22.20326653,7.06,0.12,5.46806014113513,13.5041666030884,0,0,90
"SRR1502512",3.952684683,25.22541572,2.94,0.54,7.1777824161952,20.2333330909411,1,1,84
"SRR1502513",1.034035705,12.46819412,6.19,0.54,7.20340552108309,20.3249998490016,1,0,99
"SRR1502544",5.439859127,13.4331319,5.85,0.77,7.26262860097424,14.1458333395422,1,1,2
"SRR1502545",13.53094766,14.14588975,3.72,0.77,7.37023064180708,11.4208333094915,1,1,5
"SRR1502548",4.691737578,27.89419975,3.93,0.55,6.66568371778241,0.116666670888662,1,0,90
"SRR1502549",5.688779457,20.50073935,4.37,0.55,6.62007320653036,0.916666634380817,1,0,100
"SRR1502550",3.606827292,16.34892336,4.62,0.55,6.53958595561767,3.46249983211358,1,1,100
"SRR1502551",8.883421756,16.33188837,5.76,0.3,6.20050917404269,7.2625000923872,1,1,100
"SRR1502552",3.856637283,12.0972272,5.36,0.3,6.22257626807137,6.67500002185504,1,0,100
"SRR1502553",11.60051117,14.88619691,3.53,0.47,7.21744343169653,9.1208333397905,1,0,96
"SRR1502554",24.97461507,19.23535788,3.04,0.68,6.87832646829133,8.60833323250214,1,0,85
"SRR1502555",20,22.5,2.93,0.69,7.18765716411496,4.84583331458271,1,0,100
"SRR1502556",26.75918672,23.35726207,2.64,0.69,7.04577657687951,5.94166662109395,1,0,100
"SRR1502557",39.95433953,31.45124145,2.64,0.5,6.8501261661455,6.80000004917383,1,1,99
"SRR1502558",45.32302603,41.00813668,2.65,0.49,7.72001794043224,6.81250000496705,1,1,100
"SRR1502559",42.4932917,32.84280651,2.8,0.47,7.34277918933185,6.82083335022132,1,1,100
