"","pC","cn","pH","NPP","map","mat","forest","conifer","relEM"
"SRR1502560",28.08969595,25.84745402,3.24,0.5,7.02286808608264,5.97916668249915,1,1,100
"SRR1502561",10.61347157,19.44628094,3.32,0.71,6.6052979209482,8.67500000074506,1,0,100
"SRR1502562",14.69292103,19.21874969,4.25,0.01,6.51025834052315,9.40416672080755,1,0,97
"SRR1502563",14.12003022,19.58769446,4.29,0.01,6.51767127291227,9.35416666915019,1,0,95
"SRR1502564",14.57219441,18.70983193,5.03,0.01,6.52209279817015,9.35416655832281,1,0,100
"SRR1502565",17.1368877,16.17847094,6.36,0.01,6.55677835615804,8.62499999006589,1,0,80
"SRR1502566",6.782413959,15.71316775,4.88,0.01,6.45833828334479,10.1666667064031,1,0,95
"SRR1502567",5.272845519,19.00688086,4.82,0.01,6.22851100359118,16.595833381017,0,0,95
"SRR1502568",5.906693462,14.70620372,5.34,0.01,6.20253551718792,16.6291666428248,0,0,65
"SRR1502569",11.5877234,15.7591255,5.57,0.01,6.40687998606931,11.4416667362675,0,0,95
"SRR1502570",11.54118318,16.03708998,4.59,0.01,6.24222326545517,16.0166665712992,0,0,90
"SRR1502571",9.868801427,15.64446462,4.77,0.24,6.30444880242198,6.34583325187365,1,1,90
"SRR1502572",11.16904783,21.61026555,3.56,0.24,6.29710931993394,6.28750007351239,1,1,100
"SRR1502573",10.7548768,19.0052856,3.3,0.24,6.30078579466324,6.28749998410543,1,1,90
"SRR1502574",6.543015874,14.96878396,4.98,0.24,6.30809844150953,6.21666660904884,1,0,90
"SRR1502575",12.13253637,20.33865854,3.33,0.64,6.27664348934164,2.50000013411045,1,0,100
"SRR1502576",19.66919913,24.56988867,3.2,0.52,6.25958146406492,2.6708333529532,1,1,100
"SRR1502577",4.163749644,17.75921327,4.26,0.52,6.2363695902037,2.69166666641831,1,0,100
"SRR1502578",21.87198318,25.3059072,3.18,0.52,6.24610676548156,2.6708333529532,1,1,100
"SRR1502581",13.38639514,15.30104349,5.61,0.36,6.39859493453521,16.0499999920527,1,0,90
"SRR1502587",7.765118777,33.42378398,4.61,0.04,6.93731408122368,11.5458332399527,1,1,99
"SRR1502588",3.564753743,11.44343895,5.84,0.22,6.41999492814714,16.1208332615594,1,0,100
"SRR1502589",10.1298381,25.79012315,3.57,0.44,7.05358572719368,3.76666669050852,1,0,99
"SRR1502590",42.36462706,39.11273807,3.65,0.44,7.11314210870709,4.05416672180096,1,1,99
"SRR1502596",15.84711473,17.90062693,3.48,1.17,7.72356247227797,21.0000000794729,1,0,70
"SRR1502597",12.02791976,20.53648311,3.99,1.17,7.65302041380419,22.375,1,1,70
"SRR1502617",38.6353379,33.23279907,5.01,0.3,6.22257626807137,6.55000009139379,1,0,60
"SRR1502618",7.803513517,12.66939666,5.07,0.55,6.52209279817015,3.2833334133029,1,0,70
"SRR1502619",6.638722982,11.96079465,4.99,0.55,6.53958595561767,3.46249983211358,1,1,80
"SRR1502626",9.725277105,28.14369728,3.6,0.7,7.05444965813294,14.7583332707485,1,0,62.5
"SRR1502627",5.260500245,19.26439883,5.13,0.67,7.0604763659998,14.8250000476837,1,1,60.8
"SRR1502628",4.471490522,25.3165587,4.38,0.71,7.04315991598834,14.9791666318973,1,1,74.1
"SRR1502637",27.7532551,14.86811156,5.63,0.57,6.39359075395063,6.8124999764065,1,0,94
"SRR1502638",17.28707617,12.60424999,6.25,0.57,6.4281052726846,6.57083331545194,1,0,63
"SRR1502639",9.364469184,16.27943128,5.13,0.67,7.69530313496357,14.4500000458211,1,1,99
"SRR1502640",14.19621172,17.28385367,5.7,0.54,7.68294316987829,16.2541668812434,1,1,99
"SRR1502641",14.65997243,14.67631738,5.64,0.54,7.69530313496357,14.7958334088326,1,0,100
"SRR1502642",11.79921665,17.36739366,5.15,0.67,7.64300363556072,12.8249999194716,1,1,99
"SRR1502643",3.560354287,13.1765869,5.39,0.6,7.5595594960077,21.9333333174388,0,0,99
"SRR1502644",2.667410619,12.70143201,5.46,0.6,7.33236920592906,21.2999997933706,0,0,99
"SRR1502654",4.742015191,16.2705622,3.81,0.54,6.42971947803914,5.41666672565043,1,1,100
"SRR1502655",4.851869074,14.70463604,5.22,0.54,6.4281052726846,5.3875001280879,1,1,100
"SRR1502656",2.662825944,13.06699453,4.48,0.57,6.50279004591562,5.0500000367562,1,0,100
"SRR1502657",16.61656427,13.71456993,6.35,0.59,6.43294009273918,5.36666678885619,1,0,100
"SRR1502658",4.758334281,14.3255571,6.06,0.57,6.43133108193348,5.37083333513389,1,0,100
"SRR1502659",13.8851644,21.43513508,2.76,0.78,7.12205988162914,22.7916666666667,1,0,98
"SRR1502667",16.12438289,26.27572164,3.01,0.35,6.51025834052315,-0.0124999682108561,1,0,100
"SRR1502671",2.720135473,28.60226788,3.71,0.45,6.46769872610435,4.72500005364418,1,1,100
"SRR1502672",17.86333561,29.18539296,3.4,0.35,6.48157712927643,0.0208333308498065,1,0,100
"SRR1502673",17.7803539,30.20796806,5.44,0.04,6.79122146272619,11.1125000476216,1,1,95
"SRR1502674",19.48385646,22.10530021,5.78,0.03,6.25575004175337,4.97083333631357,1,1,80
