"","latitude","longitude","depth_max","forest","map","map_sd","mat","mat_sd","map_CV","mat_CV","mdr","aridity","NPP","relEM","pH"
"ram_samp_61",53.444053,-2.214306,10,0,0.831,0.0482903912686695,9.63333333376795,1.25739473669298,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.65
"ram_samp_62",53.444053,-2.214306,10,0,0.831,0.0469983336319107,9.63333333376795,1.21785144986767,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.67
"ram_samp_63",53.444053,-2.214306,10,0,0.831,0.0487696733296525,9.63333333376795,1.22216727274069,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.45
"ram_samp_64",53.444053,-2.214306,10,0,0.831,0.0482971534895848,9.63333333376795,1.26302988965861,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.56
"ram_samp_65",53.444053,-2.214306,10,0,0.831,0.0476101213253949,9.63333333376795,1.26575727961444,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.64
"ram_samp_66",53.444053,-2.214306,10,0,0.831,0.0510767090146219,9.63333333376795,1.22831091065031,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.54
"ram_samp_67",53.444053,-2.214306,10,0,0.831,0.0486090114856489,9.63333333376795,1.25186496064163,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.76
"ram_samp_68",53.444053,-2.214306,10,0,0.831,0.0473660485130718,9.63333333376795,1.27544519303758,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.62
"ram_samp_69",53.444053,-2.214306,10,0,0.831,0.0513188724637133,9.63333333376795,1.25614248972264,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.72
"ram_samp_70",53.444053,-2.214306,10,0,0.831,0.0484786661846415,9.63333333376795,1.23736744451294,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.56
