"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_94",0.887708,0.000924747,0.00574506,0.00166172,0.00430989,0.0325401,0.00363806,0.00605157,0.00494912,0.00136176,0.000109534,0.00466875,0.000507435,0.0458273
"ram_samp_95",0.843954,0.00325995,0.0032729,0.00674309,0.0116613,0.0575755,0.00761057,0.0056798,0.0105197,0.00486458,0.000305212,0.0151381,0.000592242,0.0288226
"ram_samp_96",0.869292,0.00224235,0.00436865,0.00324025,0.0042838,0.0372301,0.00538622,0.00612982,0.0079822,0.0022554,0.000135612,0.0114786,0.000716156,0.0452591
"ram_samp_97",0.880646,0.0019423,0.00400994,0.00386645,0.0047926,0.0375759,0.00506658,0.0049296,0.00726475,0.00286203,0.000122568,0.00602551,0.000474816,0.0404199
"ram_samp_98",0.874138,0.00140741,0.00449915,0.0032533,0.00727775,0.0395519,0.00513176,0.0056471,0.00701028,0.0025685,0.000226936,0.00821713,0.000416096,0.0406542
"ram_samp_99",0.871546,0.00237282,0.00367078,0.00322071,0.00511875,0.0449011,0.00495569,0.00563409,0.00845186,0.00235978,0.000168235,0.0101545,0.000337847,0.0371058
"ram_samp_100",0.872108,0.00166183,0.00497531,0.00333161,0.00462295,0.0377518,0.0055623,0.00659947,0.00728428,0.00283596,0.000168237,0.00905209,0.000344351,0.0437001
"ram_samp_101",0.884831,0.00148569,0.00442083,0.00228139,0.00459035,0.0329247,0.00427727,0.00483174,0.0071668,0.00159004,0.000122574,0.00667117,0.000605271,0.0442027
"ram_samp_102",0.884608,0.00100299,0.00452519,0.00170736,0.00331834,0.0332831,0.00405549,0.00577754,0.00554257,0.00119215,0.000109524,0.00776698,0.000618311,0.0464916
"ram_samp_103",0.881915,0.00125738,0.00357284,0.00202048,0.00354665,0.0309286,0.00492956,0.00493607,0.00710156,0.00144003,0.000103001,0.00892814,0.000644403,0.0486767
"ram_samp_104",0.891346,0.000976906,0.00324675,0.00152473,0.00262049,0.034751,0.00373588,0.00421857,0.00584919,0.00123129,6.3863e-05,0.00583625,0.000461774,0.044137
"ram_samp_105",0.884831,0.00116611,0.0056146,0.00232056,0.00279013,0.0415746,0.00308366,0.00570588,0.0048187,0.00211191,6.38688e-05,0.00816503,0.000279138,0.0374715
"ram_samp_106",0.889923,0.00102258,0.00438171,0.00153779,0.00203344,0.0400088,0.00327281,0.00528836,0.00516431,0.00109431,8.99589e-05,0.0054971,0.000820524,0.0398647
"ram_samp_107",0.864115,0.0019032,0.00485795,0.00389259,0.00330539,0.0419529,0.00524927,0.0062799,0.00774744,0.00311643,0.000213892,0.0134747,0.000755311,0.0431332
"ram_samp_108",0.888146,0.00147916,0.00365765,0.0020009,0.00269873,0.0394476,0.00387286,0.00504698,0.00652753,0.00117258,0.000109528,0.00566016,0.000631361,0.0395452
"ram_samp_109",0.854646,0.00292076,0.00407519,0.00570597,0.00718647,0.0458274,0.00758445,0.00627335,0.010174,0.00430362,0.000337822,0.0127963,0.000911873,0.0372561
"ram_samp_110",0.889715,0.00112041,0.00355977,0.0017139,0.00226822,0.0374643,0.00372933,0.00461642,0.0058622,0.00129,8.34359e-05,0.00659288,0.000663968,0.0413186
"ram_samp_111",0.889815,0.00114651,0.00331193,0.00204004,0.00372278,0.0350054,0.00389244,0.00426424,0.00566,0.00159656,0.000116047,0.00605805,0.000670482,0.0427018
"ram_samp_112",0.892892,0.000852952,0.00280313,0.0022096,0.00310962,0.0321351,0.00448595,0.0035793,0.00571212,0.00181182,6.38669e-05,0.00580359,0.000670487,0.043869
"ram_samp_113",0.879608,0.00209885,0.00469476,0.00246402,0.00325321,0.0393171,0.00421203,0.00639716,0.00665146,0.00158352,5.08228e-05,0.00725173,0.000840082,0.0415737
"ram_samp_114",0.884346,0.00156881,0.0023377,0.0020301,0.0122002,0.0327325,0.00531755,0.00420249,0.00668254,0.00133805,0.000357739,0.00464468,0.00051156,0.0417298
"ram_samp_115",0.892077,0.00137656,0.0020301,0.00220312,0.0090857,0.029618,0.0057405,0.00424094,0.00600966,0.00103045,0.000107815,0.00356808,0.00116521,0.041749
"ram_samp_116",0.9004,0.000934384,0.00158793,0.00133799,0.00927795,0.0231584,0.00293365,0.00291441,0.00370266,0.000818979,0.00020394,0.00293365,0.000338535,0.0494583
"ram_samp_117",0.894192,0.00151113,0.00231848,0.00201087,0.00773995,0.0290413,0.00614423,0.00477924,0.00610579,0.0011458,8.85901e-05,0.00406793,0.00137668,0.0394805
"ram_samp_118",0.898762,0.00106896,0.00216468,0.00124187,0.008086,0.0266766,0.00531755,0.00383721,0.00518298,0.000895879,0.000107815,0.00333738,0.00139591,0.041922
"ram_samp_119",0.891038,0.000799809,0.0014149,0.00185707,0.0129692,0.0290605,0.00376032,0.00370264,0.00487538,0.00103045,0.000588438,0.00318358,0.000376985,0.0453441
"ram_samp_120",0.878777,0.00119217,0.00459694,0.00238576,0.00269873,0.0352794,0.00513178,0.00626027,0.00704934,0.00180532,3.77806e-05,0.00798232,0.000755283,0.0460479
"ram_samp_121",0.871023,0.00186405,0.00637777,0.00238577,0.00252263,0.0389194,0.00457738,0.00841939,0.00699729,0.00147265,0.000103007,0.00886943,0.000898813,0.0455722
"ram_samp_122",0.887085,0.00113346,0.00367719,0.00187698,0.00209864,0.0352009,0.00430986,0.00507304,0.00654708,0.00146613,0.000109532,0.0068538,0.000872673,0.043693
"ram_samp_123",0.879223,0.00150527,0.00449914,0.00247057,0.00359233,0.0347512,0.00468175,0.0056341,0.0071734,0.00192273,8.34359e-05,0.00793668,0.000709644,0.0458136
"ram_samp_124",0.888115,0.00104865,0.00294013,0.00197481,0.00419243,0.0333551,0.00475345,0.00449906,0.00702327,0.00151178,0.000233463,0.00652113,0.000670502,0.0431587
"ram_samp_125",0.876754,0.00156396,0.0052362,0.00252275,0.0030575,0.0360558,0.00472739,0.00678861,0.00709504,0.00176618,8.34359e-05,0.00774755,0.000800961,0.0458002
"ram_samp_126",0.858738,0.00181873,0.00560596,0.0054906,0.0145072,0.0366352,0.00781681,0.00806672,0.00864349,0.00187635,0.000511538,0.00772069,0.000165511,0.0424027
"ram_samp_127",0.861392,0.00137656,0.00500998,0.00574053,0.0106429,0.0372696,0.00650951,0.00662485,0.00733619,0.0012996,0.000665338,0.00841279,0.000165511,0.047555
"ram_samp_128",0.8741,0.00131888,0.00366423,0.00406795,0.0135075,0.0356355,0.00739386,0.00829743,0.00624036,0.00172255,0.000453864,0.00554826,0.000223186,0.0378271
"ram_samp_129",0.888823,0.000876709,0.0031836,0.00322205,0.00943175,0.0276378,0.00533678,0.00500994,0.00633649,0.000972779,0.000261614,0.00429863,0.00031931,0.0442867
"ram_samp_130",0.901246,0.000472984,0.00285678,0.00153025,0.00437557,0.0214666,0.00379877,0.00354884,0.00439476,0.000299904,0.00024239,0.00418328,0.000530784,0.0510539
"ram_samp_131",0.874523,0.000203835,0.00495231,0.00381802,0.00910492,0.0308869,0.00602888,0.00560592,0.00668254,0.000261454,0.000492314,0.00687479,0.000300085,0.0502657
"ram_samp_132",0.873038,0.0016174,0.00696565,0.00185403,0.0112909,0.0442703,0.00427981,0.00897156,0.00394368,0.00123619,8.14974e-05,0.00496828,0.00037061,0.037109
"ram_samp_133",0.880569,0.00223479,0.00543816,0.00202049,0.0133871,0.0413097,0.00420615,0.00717927,0.00406472,0.00136647,6.30704e-05,0.00354861,0.000362135,0.0342527
"ram_samp_134",0.883108,0.00145069,0.00559979,0.00127669,0.0144953,0.0414829,0.00356166,0.00727663,0.00316779,0.000826671,8.61433e-05,0.00401752,0.000299436,0.0333521
"ram_samp_135",0.881108,0.00127911,0.00553335,0.00136,0.0185368,0.0422106,0.00307719,0.00697115,0.00262751,0.000760309,5.6347e-05,0.00295724,0.000260958,0.0332611
"ram_samp_136",0.881454,0.00125088,0.00449911,0.00198133,0.003064,0.0353707,0.00412075,0.00572535,0.0065667,0.00138785,8.34416e-05,0.00800839,0.000598757,0.0458917
"ram_samp_137",0.874646,0.00157046,0.00501438,0.002601,0.00406843,0.0319787,0.00504044,0.00703644,0.00787119,0.00183792,0.000155193,0.00854979,0.000794424,0.048833
"ram_samp_138",0.885577,0.00132914,0.00353374,0.00234009,0.00397722,0.0376409,0.00436209,0.0051318,0.00656017,0.00179226,0.000135622,0.00606458,0.000618315,0.0409345
"ram_samp_139",0.887162,0.00176875,0.00236462,0.00285101,0.0139016,0.0375695,0.00552134,0.00423709,0.0062269,0.000786297,0.000153955,0.00408716,0.000428892,0.032942
"ram_samp_140",0.894431,0.00181681,0.00252803,0.00382187,0.0055829,0.0310061,0.00536946,0.00545981,0.00664601,0.00133805,0.00021932,0.00464853,0.000438505,0.0366909
"ram_samp_141",0.912708,0.000401852,0.00114767,0.00104001,0.00210894,0.0279012,0.00348925,0.00323931,0.00381416,0.000221082,0.000252002,0.00428902,0.000178969,0.0392075
"ram_samp_142",0.869531,0.000738289,0.0035508,0.00222427,0.00276067,0.0331881,0.0139477,0.00730349,0.0146321,0.000801677,0.00781701,0.0106679,0.00287622,0.0299602
"ram_samp_143",0.897231,0.00219746,0.00344699,0.00287408,0.00851856,0.0285472,0.00682095,0.00432361,0.00739579,0.00113042,9.05126e-05,0.00397373,0.0013786,0.0320731
"ram_samp_144",0.894454,0.00191678,0.00221082,0.0023896,0.00969321,0.0332708,0.00570013,0.00462544,0.00658257,0.000795909,0.000257769,0.0037238,0.000598072,0.0337822
"ram_samp_145",0.896108,0.001713,0.00363155,0.00317975,0.00763613,0.0265862,0.00636724,0.00481769,0.00767071,0.00130345,0.000275072,0.00424865,0.00140744,0.0350568
"ram_samp_146",0.891138,0.000826724,0.00239153,0.00288561,0.00621925,0.0343051,0.00594621,0.00511952,0.00683057,0.000868964,0.000323134,0.00654027,0.000250101,0.0363564
"ram_samp_147",0.9062,0.0016534,0.00389493,0.0025261,0.00576362,0.02292,0.00654988,0.00322586,0.00714202,0.000622884,0.000115505,0.00339121,0.00232062,0.0336726
"ram_samp_148",0.905085,0.0014823,0.00288177,0.00227041,0.00682099,0.0278186,0.00466198,0.00406022,0.00570975,0.00110351,0.00020394,0.00348349,0.00044235,0.0339744
"ram_samp_149",0.897023,0.00131888,0.00181094,0.00274334,0.00617888,0.0288548,0.00560401,0.00504839,0.00658257,0.000459472,0.0002347,0.00543291,0.000315465,0.0383904
"ram_samp_150",0.890923,0.00264925,0.00197243,0.00384109,0.0106583,0.0346338,0.00633648,0.00436398,0.00712279,0.00152069,0.000177025,0.00429286,0.000448117,0.0310618
"ram_samp_151",0.903638,0.000820956,0.00149372,0.00170519,0.00642303,0.0301948,0.0043736,0.00376416,0.00487538,0.000463317,0.000271227,0.00408139,0.000221263,0.0376752
"ram_samp_152",0.896185,0.00167839,0.00319129,0.00299904,0.00683253,0.0279185,0.00621536,0.00514259,0.00699398,0.00149762,0.000182792,0.00429863,0.00120942,0.0356547
"ram_samp_153",0.900238,0.00126313,0.00301058,0.00204548,0.00634229,0.0292681,0.00559247,0.00396794,0.00651336,0.000572899,0.000225087,0.00409677,0.00122673,0.0356355
"ram_samp_154",0.875154,0.00300876,0.00448706,0.00596546,0.00876849,0.0353432,0.00882613,0.00764185,0.0105141,0.00239927,0.000107815,0.00638455,0.00130747,0.030091
"ram_samp_155",0.890785,0.00195523,0.00371422,0.0033374,0.00735545,0.0351683,0.00689209,0.00626918,0.00759188,0.00140919,0.000148187,0.00519836,0.00095181,0.029222
"ram_samp_156",0.886792,0.00290494,0.00322013,0.00437171,0.010889,0.0341532,0.00740539,0.00530408,0.00863772,0.001513,0.000144342,0.0042871,0.00180155,0.0285722
"ram_samp_157",0.869762,0.00294916,0.00349121,0.00505996,0.0124251,0.0373907,0.00888765,0.00712085,0.0108467,0.00237428,0.000146265,0.00700552,0.00134592,0.0311926
"ram_samp_158",0.890185,0.0013458,0.00512149,0.00200895,0.00563289,0.0283319,0.00796292,0.00628841,0.00877807,0.000967012,0.000123195,0.00655565,0.00138053,0.0353163
"ram_samp_159",0.891954,0.00211095,0.00316822,0.00228963,0.00990084,0.0291797,0.00676328,0.00385836,0.00817248,0.000924717,0.000163567,0.00342582,0.00150549,0.0365852
"ram_samp_160",0.901115,0.0016361,0.0028414,0.00224349,0.00980664,0.0282703,0.00547328,0.00346425,0.00632303,0.000897802,0.000140497,0.00334699,0.000872988,0.0335649
"ram_samp_161",0.882477,0.00225898,0.00200703,0.00417561,0.00942406,0.0362372,0.00738809,0.00586161,0.00911258,0.00114965,0.00066726,0.00535409,0.00031162,0.0335765
"ram_samp_162",0.901031,0.00123814,0.00235116,0.00250303,0.00458512,0.0305043,0.00473888,0.00428708,0.00615962,0.000659412,0.00014242,0.00435823,0.000605762,0.0368389
"ram_samp_163",0.901954,0.00163994,0.00263569,0.00201279,0.00814944,0.0287106,0.00517721,0.00365842,0.00591354,0.000843972,9.62801e-05,0.00302593,0.000930663,0.0352529
"ram_samp_164",0.894985,0.00162648,0.00257802,0.00252802,0.0076073,0.028253,0.00590969,0.00453316,0.00700552,0.000574822,0.000319289,0.00424865,0.000644211,0.0391882
"ram_samp_165",0.881015,0.00195907,0.00385071,0.00323551,0.00932409,0.0347473,0.00830897,0.00650181,0.00939327,0.00141111,0.000207785,0.00594237,0.00147473,0.0326267
"ram_samp_166",0.911292,0.00157073,0.00200511,0.00208008,0.00835899,0.0269227,0.00449664,0.00307013,0.0052868,0.000457549,9.82026e-05,0.00287982,0.000919128,0.0305581
