"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_94",0.879777,0.00147455,0.00390513,0.00279662,0.00434223,0.0385931,0.00474979,0.0055775,0.00676037,0.00183602,0.000162018,0.00812844,0.000577311,0.041322
"ram_samp_95",0.881423,0.0012526,0.00383606,0.00256095,0.00396696,0.0390751,0.00398268,0.00507311,0.00584138,0.002133,0.000147903,0.00788591,0.000422895,0.0423968
"ram_samp_96",0.878,0.00154934,0.00405951,0.00275848,0.00467027,0.0414562,0.00466162,0.0055475,0.00664491,0.0023629,0.000122864,0.00811877,0.000499356,0.0395445
"ram_samp_97",0.880253,0.00138839,0.00400411,0.00271201,0.00423187,0.0385664,0.00441402,0.00535113,0.00639689,0.00203798,0.000148144,0.00805344,0.00051973,0.0419269
"ram_samp_98",0.880008,0.00140537,0.00387376,0.00270259,0.00414494,0.0384379,0.00453707,0.00540908,0.00656401,0.0019709,0.000148268,0.00825754,0.000532176,0.0420056
"ram_samp_99",0.878962,0.00152257,0.00386903,0.0027378,0.00453444,0.0414933,0.00455181,0.00539569,0.00649074,0.00232141,0.000134854,0.00809458,0.000465781,0.0394238
"ram_samp_100",0.878923,0.00154754,0.00379609,0.00276504,0.00446706,0.0408212,0.00471718,0.00547315,0.00670986,0.00217328,0.000141232,0.00825599,0.00050055,0.0397076
"ram_samp_101",0.881469,0.00133704,0.00379624,0.00266151,0.00368941,0.0356283,0.00431466,0.00495481,0.0065051,0.00211243,0.000150156,0.00877567,0.000528143,0.044081
"ram_samp_102",0.879546,0.00152239,0.00406052,0.00284589,0.00413486,0.0360977,0.00483354,0.00532892,0.00713188,0.00207587,0.000144526,0.00880052,0.000646791,0.0428307
"ram_samp_103",0.880046,0.00148565,0.00397213,0.00279959,0.00400534,0.0360324,0.00468893,0.00517874,0.00697807,0.00214976,0.000143948,0.00886704,0.000605541,0.0430491
"ram_samp_104",0.881654,0.0013446,0.00370505,0.00268055,0.00364578,0.0352074,0.00442133,0.00502046,0.0066259,0.00195018,0.000161971,0.00882329,0.000553106,0.0442095
"ram_samp_105",0.879477,0.00150253,0.00366586,0.00274012,0.00429892,0.0401451,0.00473258,0.00550463,0.00671591,0.0019687,0.000153707,0.00828327,0.000510816,0.0403014
