"sampleID";"pC";"cn";"pH";"NPP";"map";"mat";"forest";"conifer";"relEM";"P";"K";"Ca";"Mg"
"BART_001";18.6711485611365;26.312601576435;4.71698383333173;0.568000018596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"BART_004";20.4685778877712;24.9507646049633;4.3608097971301;0.568000018596649;1237;5.83749991531173;1;1;0.697756148392661;1.62317414625986;0.714113886954962;1.73323980943214;0.890845603730467
"BART_006";17.9339988727078;26.5345701149647;4.65380656056478;0.568000018596649;1237;5.83749991531173;1;1;0.836054963556983;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"CPER_001";0.738133760603473;9.89616728126102;7.77038266066853;0.425000011920929;366;9.03750000397364;0;0;-10;1.7524774497707;0.728833483707449;1.03426980509612;0.230793665424818
"CPER_002";0.752077061012349;9.89999335203014;6.82117491868024;0.425000011920929;366;9.03750000397364;0;0;-10;1.83634668951878;0.708452334271201;1.40224659039072;0.589815608066486
"CPER_003";0.700263257099079;9.50646556352264;7.6238515099673;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_004";0.741452507820066;9.57666854270412;7.71513344737266;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"CPER_007";0.721699662638886;9.4454215589827;7.41142921431167;0.425000011920929;366;9.03750000397364;0;0;-10;1.74459749916555;0.714113886954962;1.85087930729894;0.464876871458186
"CPER_047";0.70515004245221;9.17197067597497;7.43546619926355;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"DSNY_001";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_002";1.72044623569504;25.730383591628;4.50862412936845;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_003";2.01513575298416;27.137914452941;4.62645945927015;0.856000006198883;1218;22.1041667064031;0;1;6.24098299474368;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_004";2.10063593929789;27.3565614081243;4.2303897002713;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.55846730950286;0.704633125048793;-0.618942708679221;0.230793665424818
"DSNY_009";2.04483590599061;23.3601687443409;4.43335657860693;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_016";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_043";1.41635496513416;22.0433184204813;4.99766342504458;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"HARV_001";10.4167152939506;23.7156910542055;4.56945180296921;0.626999974250793;1108;7.45833339293798;1;1;2.52890906097704;2.06892351796054;0.745818041623652;1.96274152327702;1.2442328229802
"HARV_002";7.45190810122428;23.9820067802826;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;1.27973114342409;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_004";13.5288929062331;20.6770413629655;4.62864983440096;0.626999974250793;1108;7.45833339293798;1;1;-0.200249014830708;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_010";12.4141343946992;25.5772908586029;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;6.36394781910346;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_013";6.1533676326415;20.4325782008111;4.58350444200673;0.626999974250793;1108;7.45833339293798;1;1;2.80987418701657;2.12281509185222;0.715236693977688;1.35878089660963;0.376921701103056
"HARV_016";14.132377458249;21.0573535365599;4.50501531969211;0.626999974250793;1108;7.45833339293798;1;1;3.94237943319024;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_020";3.22106091278404;23.3827834118204;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;-6.18817291320366;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_021";7.80506426995537;26.3065418864133;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;6.44540374519053;1.87704714500836;0.721540811774369;1.67845300232967;1.17102546042133
"HARV_033";14.176700684264;21.8110954108398;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;1.1669179059622;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_034";14.4216590521989;25.758863326924;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;2.43253826628437;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"HARV_035";14.4892704118317;26.0008022267983;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;2.3930076829;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"JERC_001";0.936858763630702;20.334745322067;5.65622179411915;0.633000016212463;1353;19.0916668574015;0;0;5.62261209554247;1.73690217827491;0.71603911687101;1.09523694113096;0.131128309826022
"JERC_002";1.06071208569629;28.1196812181594;5.62773664345826;0.633000016212463;1353;19.0916668574015;0;0;5.62261209554247;1.712645730522;0.702709789751512;0.881659641889965;0.0846656297465797
