"sampleID";"pC";"cn";"pH";"NPP";"map";"mat";"forest";"conifer";"relEM";"P";"K";"Ca";"Mg"
"BART";2.98445372566926;25.768983768204;4.59495853981554;0.568000018596649;1237;5.83749991531173;1;1;1.53327371194887;1.84468426244857;0.716667589082098;1.35384486699161;0.637911268926621
"CPER";0.72503379435981;9.52156901707461;7.19887942042242;0.425000011920929;366;9.03750000397364;0;0;-10;1.86385092152469;0.717460951734189;1.59403585558857;0.594508412863382
"DSNY";1.59424983718658;23.7076633509844;4.73344082405127;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"HARV";3.22106091278404;23.3827834118204;4.58687579888955;0.626999974250793;1108;7.45833339293798;1;1;1.85630699728855;2.07228083018925;0.716349103088198;1.36665901424986;0.758434407719174
"JERC";1.02619206955958;24.2574359342563;5.65358972271582;0.633000016212463;1353;19.0916668574015;0;0;5.62261209554247;1.73690217827491;0.71603911687101;1.09523694113096;0.131128309826022
"ORNL";2.36335671808001;17.0509296498151;5.20842271781147;0.73199999332428;1209;14.0208334426085;1;1;-0.647939987366831;1.95036895666279;0.715812121298108;1.23076243823398;0.425479622323363
"OSBS";1.20636846475783;22.2396640017436;5.09267253864602;0.75;1292;20.6208334366481;1;1;4.11760881557105;1.79375805699112;0.71536739821638;-0.0288531922958921;-0.443426830856068
"SCBI";1.83139551046975;10.7333873370215;6.12156696535926;0.708999991416931;1026;11.7083333767951;1;0;-4.56544285464112;2.05874137492772;0.715899519092749;1.57035083777937;0.661626231841693
"STER";1.19891208056534;13.1738126115278;7.05785461676425;0.386999994516373;428;9.37916669435799;0;0;-10;1.84367536453151;0.717510096537667;1.62866219094477;0.71727698990169
"TALL";1.70991813044727;26.2091670372716;5.19474436673813;0.644999980926514;1454;16.8708333348234;1;1;2.90994200796752;1.8663877316639;0.715244904814553;0.776054028382439;-0.0968956111481789
"UNDE";1.65198095951207;12.8215622878704;5.19430006634407;0.575999975204468;846;3.92916666467985;1;1;0.0568674739279651;1.9503681169987;0.7162760344329;1.45174040275477;0.558307557134
"WOOD";3.09005903277882;9.25052941638385;7.5858219680843;0.00899999961256981;419;4.47083325684071;0;0;-10;1.97977469056836;0.716127213094658;2.0110521153919;1.10703551743625
